run_id,phase,method,scale,cfg.model.name,cfg.model.dtype,cfg.seed,cfg.paths.data_root,cfg.paths.qd_data_root,cfg.paths.qd_temporal_data_root,cfg.paths.output_root,cfg.paths.checkpoint_root,cfg.wandb.project,cfg.wandb.enabled,cfg.method,cfg.K,cfg.beta,cfg.replay_pct,cfg.partial_match_threshold,cfg.max_new_tokens,cfg.gold_nll_alpha,cfg.gold_nll_gate_threshold,cfg.always_apply_gold_nll,cfg.training.lr,cfg.training.epochs,cfg.training.batch_size,cfg.training.gradient_accumulation_steps,cfg.training.max_seq_length,cfg.training.bf16,cfg.cache_path,cfg.task_anchor_alpha,cfg.task_anchor_n_samples,cfg.kl_lambda,round
copr_qd_scale1000,phase1_batch,copr,1000,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,copr,8,0.1,0.05,0.5,128,0.25,0.5,False,1e-05,3,4,4,512,True,outputs/copr_qd_scale1000/copr_cache.json,,,,
copr_anchored_qd_scale1000,phase1_batch,copr_anchored,1000,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,copr_anchored,8,0.1,0.05,0.5,128,0.25,0.5,False,1e-05,3,4,4,512,True,outputs/copr_anchored_qd_scale1000/copr_cache.json,0.3,4,,
copr_gold_injection_qd_scale1000,phase1_batch,copr_gold_injection,1000,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,copr_gold_injection,8,0.1,0.05,0.5,128,0.0,0.0,False,1e-05,3,4,4,512,True,,,,,
copr_gold_injection_anchored_qd_scale1000,phase1_batch,copr_gold_injection_anchored,1000,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,copr_gold_injection_anchored,8,0.1,0.05,0.5,128,0.25,0.5,False,1e-05,3,4,4,512,True,outputs/copr_gold_injection_anchored_qd_scale1000/copr_cache.json,,,,
kl_reg_sft_qd_scale1000,phase1_batch,kl_reg_sft,1000,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,kl_reg_sft,,,,,,,,,2e-05,3,8,2,512,True,,,,0.1,
naive_sft_qd_scale1000,phase1_batch,naive_sft,1000,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,naive_sft,,,,,,,,,2e-05,3,8,2,512,True,,,,,
copr_qd_scale3000,phase2_batch,copr,3000,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,copr,8,0.1,0.05,0.5,128,0.25,0.5,False,1e-05,3,4,4,512,True,outputs/copr_qd_scale3000/copr_cache.json,,,,
copr_gold_injection_qd_scale3000,phase2_batch,copr_gold_injection,3000,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,copr_gold_injection,8,0.1,0.05,0.5,128,0.0,0.0,False,1e-05,3,4,4,512,True,outputs/copr_gold_injection_qd_scale3000/copr_cache.json,,,,
copr_gold_injection_anchored_qd_scale3000,phase2_batch,copr_gold_injection_anchored,3000,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,copr_gold_injection_anchored,8,0.1,0.05,0.5,128,0.25,0.5,False,1e-05,3,4,4,512,True,outputs/copr_gold_injection_anchored_qd_scale3000/copr_cache.json,,,,
kl_reg_sft_qd_scale3000,phase2_batch,kl_reg_sft,3000,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,kl_reg_sft,,,,,,,,,2e-05,3,8,2,512,True,,,,0.1,
naive_sft_qd_scale3000,phase2_batch,naive_sft,3000,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,naive_sft,,,,,,,,,2e-05,3,8,2,512,True,,,,,
seq_copr_round_1_qd_scale200,phase3_sequential,copr,200,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,copr,8,0.1,0.05,0.5,128,0.25,0.5,False,1e-05,3,4,4,512,True,outputs/seq_copr_round_1_qd_scale200/copr_cache.json,,,,1
seq_copr_round_2_qd_scale200,phase3_sequential,copr,200,Qwen/Qwen3-4B-Instruct-2507,bfloat16,42,./data,./data/qd,./data/qd_temporal,./outputs,./checkpoints,still-on-task,True,copr,8,0.1,0.05,0.5,128,0.25,0.5,False,1e-05,3,4,4,512,True,outputs/seq_copr_round_2_qd_scale200/copr_cache.json,,,,2
